Adasevci,Ada[evci,Адаевци
Bogutovacka Banja,Bogutovačka Banja,Богутовачка Бања
Boka,Boka,Бока
Bor,Bor,Бор
Bor Teretna,Bor Teretna,Бор Теретна
Boracko,Boračko,Борачко
Borska Slatina,Borska Slatina,Борска Слатина
Bosiljkovac,Bosiljkovac,Босиљковац
Bozurot,Bozurot,Бозурот
Braljina,Braljina,Браљина
Branesci,Branešci,Бранешци
Brasina,Brasina,Брасина
Bratonozici,Bratonožići,Братоножићи
Bresnicici,Bresničići,Бресничићи
Brestovac,Brestovac,Брестовац
Brestovi,Brestovi,Брестови
Brezonik,Brezonik,Брезоник
Brodarevo,Brodarevo,Бродарево
Brodica,Brodica,Бродица
Brusnik,Brusnik,Брусник
Brvenik,Brvenik,Брвеник
Brzan,Brzan,Брзан
Bubusinac-bratinac,Bubušinac-bratinac,Бубушинацбратинац
Budisava,Budisava,Будисава
Budisavci,Budisavci,Будисавци
Budjanovci,Budjanovci,Будјановци
Bujanovac,Bujanovac,Бујановац
Bukarevac,Bukarevac,Букаревац
Bukovacka Rampa,Bukovačka Rampa,Буковачка Рампа
Bukovacki Salasi,Bukovački Salasi,Буковачки Саласи
Bukovce,Bukovce,Буковце
Cacak,Čačak,Чачак
Capljinac,Čapljinac,Чапљинац
Cele Kula,Ćele Kula,Ћеле Кула
Cerovik,Cerovik,Церовик
Cerovo,Cerovo,Церово
Cerovo-razanj,Cerovo-ražanj,Цероворажањ
Cesljeva Bara,Češljeva Bara,Чешљева Бара
Cicevac,Ćićevac,Ћићевац
Ciflak,Ćiflak,Ћифлак
Ciflik,Ćiflik,Ћифлик
Ciniglavci,Ćiniglavci,Ћиниглавци
Cirikovac,Ćirikovac,Ћириковац
Citluk,Čitluk,Читлук
Coka,Čoka,Чока
Cokonjar,Čokonjar,Чокоњар
Conoplja,Čonoplja,Чонопља
Cortanovci,Čortanovci,Чортановци
Cortanovci Dunav,Čortanovci Dunav,Чортановци Дунав
Crepaja,Crepaja,Црепаја
Crkvica,Crkvica,Црквица
Crmnica,Crmnica,Црмница
Crnomasnica,Crnomasnica,Црномасница
Crvena Crkva,Crvena Crkva,Црвена Црква
Crvena Reka,Crvena Reka,Црвена Река
Crvencevo,Crvenčevo,Црвенчево
Crveni Breg,Crveni Breg,Црвени Брег
Crveni Krst,Crveni Krst,Црвени Крст
Crvenka,Crvenka,Црвенка
Cuprija,Ćuprija,Ћуприја
Curug,Čurug,Чуруг
Cvetojevac,Cvetojevac,Цветојевац
Dabovici,Dabovići,Дабовићи
Danilovgrad,Danilovgrad,Даниловград
Debeli Lug,Debeli Lug,Дебели Луг
Debeljaca,Debeljača,Дебељача
Dedina,Dedina,Дедина
Deric,Derić,Дерић
Deronje,Deronje,Дероње
Desiska,Dešiška,Дешишка
Despotovac,Despotovac,Деспотовац
Devet Jugovica,Devet Jugovića,Девет Југовића
Dimitrovgrad,Dimitrovgrad,Димитровград
Dimitrovgrad Gran.,Dimitrovgrad Gran.,Димитровград Гран
Divci,Divci,Дивци
Djeneral Jankovic,Đeneral Janković,Ђенерал Јанковић
Djeneral Jankovic G,Đeneral Janković G,Ђенерал Јанковић Г
Djordjevo,Đorđevo,Ђорђево
Djunis,Đunis,Ђунис
Djurdjevo Polje,Đurđevo Polje,Ђурђево Поље
Dobra Voda,Dobra Voda,Добра Вода
Dobre Strane,Dobre Strane,Добре Стране
Dobro Selo,Dobro Selo,Добро Село
Dobrosevac,Dobroševac,Доброшевац
Dolac,Dolac,Долац
Doline,Doline,Долине
Doljevac,Doljevac,Дољевац
Domanek,Domanek,Доманек
Donja Borina,Donja Borina,Доња Борина
Donja Pocekovina,Donja Počekovina,Доња Почековина
Donje Jerinje,Donje Jerinje,Доње Јериње
Donje Ljupce,Donje Ljupce,Доње Љупце
Donje Zunice,Donje Zunice,Доње Зунице
Donji Brodac,Donji Brodac,Доњи Бродац
Donji Ljubes,Donji Ljubeš,Доњи Љубеш
Donji Titel,Donji Titel,Доњи Тител
Dragacevo,Dragačevo,Драгачево
Dragobraca,Dragobraća,Драгобраћа
Drazanj-sepsin,Dražanj-sepsin,Дражањсепсин
Dren,Dren,Дрен
Drenica,Drenica,Дреница
Drenovac,Drenovac,Дреновац
Drenovacki Kik,Drenovački Kik,Дреновачки Кик
Dublje Macvansko,Dublje Mačvansko,Дубље Мачванско
Dutovo,Dutovo,Дутово
Dvoriste,Dvorište,Двориште
Dvorovi,Dvorovi,Дворови
Dzep,Džep,Џеп
Dzurovo,Džurovo,Џурово
Elemir,Elemir,Елемир
Ester,Ester,Естер
Farkazdin,Farkaždin,Фаркаждин
Futog,Futog,Футог
Gabric,Gabric,Габриц
Gajdobra,Gajdobra,Гајдобра
Gibarac,Gibarac,Гибарац
Gilje,Gilje,Гиље
Glibovac,Glibovac,Глибовац
Globoder,Globoder,Глободер
Glumac,Glumac,Глумац
Godomin,Godomin,Годомин
Goles,Goleš,Голеш
Golubinci,Golubinci,Голубинци
Golubovci,Golubovci,Голубовци
Goricani,Goričani,Горичани
Gornja Draganja,Gornja Draganja,Горња Драгања
Gornja Koviljaca,Gornja Koviljača,Горња Ковиљача
Gornja Vrezina,Gornja Vrežina,Горња Врежина
Gornjane,Gornjane,Горњане
Gornje Zunice,Gornje Zunice,Горње Зунице
Gornji Breg,Gornji Breg,Горњи Брег
Gornji Ljubes,Gornji Ljubeš,Горњи Љубеш
Gospodjinci,Gospodjinci,Господјинци
Grad Stalac,Grad Stalać,Град Сталаћ
Gradac,Gradac,Градац
Gramada,Gramada,Грамада
Grdelica,Grdelica,Грделица
Grejac,Grejač,Грејач
Grlica,Grlica,Грлица
Grljan,Grljan,Грљан
Grosnica,Grosnica,Гросница
Gruza,Gruža,Гружа
Guberevac,Guberevac,Губеревац
Gugalj,Gugalj,Гугаљ
Hadzicevo,Hadzićevo,Хадзићево
Hajdukovo,Hajdukovo,Хајдуково
Horgos,Horgoš,Хоргош
Horgos Granica,Horgoš Granica,Хоргош Граница
Hramovik,Hramovik,Храмовик
Hvosno,Hvosno,Хвосно
Ibarska Slatina,Ibarska Slatina,Ибарска Слатина
Indjija,Inđija,Инђија
Indjija Pustara,Inđija Pustara,Инђија Пустара
Indjija Selo,Inđija Selo,Инђија Село
Iverak,Iverak,Иверак
Jablanica,Jablanica,Јабланица
Jabuka,Jabuka,Јабука
Jadarska Straza,Jadarska Straža,Јадарска Стража
Jagoda,Jagoda,Јагода
Jagodina,Jagodina,Јагодина
Jajince,Jajince,Јајинце
Jasa Tomic,Jaša Tomić,Јаша Томић
Jasenica,Jasenica,Јасеница
Jasenovik,Jasenovik,Јасеновик
Jasenovo,Jasenovo,Јасеново
Jasikovo,Jasikovo,Јасиково
Jelen Do,Jelen Do,Јелен До
Jerina,Jerina,Јерина
Josanicka Banja,Jošanička Banja,Јошаничка Бања
Josic,Josić,Јосић
Jovac,Jovac,Јовац
Jovanovac,Jovanovac,Јовановац
Jug Bogdan,Jug Bogdan,Југ Богдан
Jugo,Jugo,Југо
Jugovicevo,Jugovićevo,Југовићево
Kac,Kać,Каћ
Kacanik,Kačanik,Качаник
Kacarevo,Kačarevo,Качарево
Kalenici,Kalenići,Каленићи
Kanjiza,Kanjiža,Кањижа
Kaona,Kaona,Каона
Karadjordjev Park,Karađorđev Park,Карађорђев Парк
Karavukovo,Karavukovo,Каравуково
Karlovacki Vinograd,Karlovački Vinograd,Карловачки Виноград
Kasapovac,Kasapovac,Касаповац
Kastrat,Kastrat,Кастрат
Kaznovice,Kaznovice,Казновице
Kijevo,Kijevo,Кијево
Kikinda,Kikinda,Кикинда
Kikinda Granica,Kikinda Granica,Кикинда Граница
Kisac,Kisač,Кисач
Klenak,Klenak,Кленак
Klenje,Klenje,Клење
Klenovik Selo,Klenovik Selo,Кленовик Село
Kljajicevo,Kljajićevo,Кљајићево
Knezevac,Kneževac,Кнежевац
Knic,Knić,Кнић
Knicanin,Knićanin,Книћанин
Knjazevac,Knjaževac,Књажевац
Kobisnica,Kobišnica,Кобишница
Kocane,Kocane,Коцане
Kolari,Kolari,Колари
Kolasin,Kolašin,Колашин
Konak,Konak,Конак
Korman,Korman,Корман
Kos,Kos,Кос
Kos Mitrovica Sever,Kos Mitrovica Sever,Кос Митровица Север
Kosancic Ivan,Kosančić Ivan,Косанчић Иван
Kosanica,Kosanica,Косаница
Kosanicka Raca,Kosanička Rača,Косаничка Рача
Kosevi,Kosevi,Косеви
Kosin,Kosin,Косин
Kosjeric,Kosjerić,Косјерић
Kosovo Polje,Kosovo Polje,Косово Поље
Kosovo Polje Teret.,Kosovo Polje Teret.,Косово Поље Терет
Kosovska Mitrovica,Kosovska Mitrovica,Косовска Митровица
Kostolac,Kostolac,Костолац
Kovacevac,Kovačevac,Ковачевац
Kovacica,Kovačica,Ковачица
Koviljaca,Koviljača,Ковиљача
Kragujevac,Kragujevac,Крагујевац
Kraljevci,Kraljevci,Краљевци
Kraljevo,Kraljevo,Краљево
Kriveljski Most,Kriveljski Most,Кривељски Мост
Kriveljski Potok,Kriveljski Potok,Кривељски Поток
Krnjaca,Krnjača,Крњача
Krnjaca Most,Krnjača Most,Крњача Мост
Krnjevo-trnovce,Krnjevo-trnovce,Крњевотрновце
Krusevac,Kruševac,Крушевац
Krusevacki Potok,Kruševački Potok,Крушевачки Поток
Krusevo,Kruševo,Крушево
Kucevo,Kučevo,Кучево
Kukici,Kukići,Кукићи
Kukujevci-erdevik,Kukujevci-erdevik,Кукујевциердевик
Kula,Kula,Кула
Kumane,Kumane,Кумане
Kupusina,Kupusina,Купусина
Kursumlija,Kuršumlija,Куршумлија
Kusadak,Kusadak,Кусадак
Kuzmin,Kuzmin,Кузмин
Lacarak,Lačarak,Лачарак
Lajkovac,Lajkovac,Лајковац
Laniste,Lanište,Ланиште
Lapovo,Lapovo,Лапово
Lapovo Ranzirna,Lapovo Ranžirna,Лапово Ранжирна
Lapovo Varos,Lapovo Varoš,Лапово Варош
Lastra,Lastra,Ластра
Laudonovac,Laudonovac,Лаудоновац
Lazarevac,Lazarevac,Лазаревац
Lazarevo,Lazarevo,Лазарево
Lepenicki Most,Lepenički Most,Лепенички Мост
Leposavic,Leposavić,Лепосавић
Lesak,Lesak,Лесак
Leskovac,Leskovac,Лесковац
Leskovac Kolubar.,Leskovac Kolubar.,Лесковац Колубар
Leskovice,Leskovice,Лесковице
Leskovo,Leskovo,Лесково
Lesnica,Lesnica,Лесница
Letovica,Letovica,Летовица
Lipe,Lipe,Липе
Lipljan,Lipljan,Липљан
Lipnica,Lipnica,Липница
Lipova,Lipova,Липова
Lipovica,Lipovica,Липовица
Livadica,Livadica,Ливадица
Ljesnica,Ljesnica,Љесница
Ljubicevski Most,Ljubičevski Most,Љубичевски Мост
Ljubinje,Ljubinje,Љубиње
Ljusa,Ljuša,Љуша
Ljutoglava,Ljutoglava,Љутоглава
Ljutotuk,Ljutotuk,Љутотук
Ljutovo,Ljutovo,Љутово
Lok,Lok,Лок
Lovcenac,Lovćenac,Ловћенац
Loznica,Loznica,Лозница
Loznica Fabrika,Loznica Fabrika,Лозница Фабрика
Lozno,Lozno,Лозно
Lozovik-saraorci,Lozovik-saraorci,Лозовиксараорци
Lucice,Lučice,Лучице
Lucina,Lučina,Лучина
Lugavcina,Lugavčina,Лугавчина
Lukavac Kolubarski,Lukavac Kolubarski,Лукавац Колубарски
Lukicevo,Lukićevo,Лукићево
Lukomir,Lukomir,Лукомир
Lutovo,Lutovo,Лутово
Luzane,Lužane,Лужане
Majdan Ostrovica,Majdan Ostrovica,Мајдан Островица
Majdanpek,Majdanpek,Мајданпек
Majilovac,Majilovac,Мајиловац
Majur,Majur,Мајур
Makresane,Makrešane,Макрешане
Mala Ivanca,Mala Ivanča,Мала Иванча
Mala Krsna,Mala Krsna,Мала Крсна
Mala Krusa,Mala Kruša,Мала Круша
Mala Plana,Mala Plana,Мала Плана
Mali Beograd,Mali Beograd,Мали Београд
Mali Idjos,Mali Iđoš,Мали Иђош
Mali Idjos Polje,Mali Iđoš Polje,Мали Иђош Поље
Mali Izvor,Mali Izvor,Мали Извор
Mali Krivelj,Mali Krivelj,Мали Кривељ
Mali Pozarevac,Mali Požarevac,Мали Пожаревац
Malo Kosovo,Malo Kosovo,Мало Косово
Malosiste,Malošište,Малошиште
Margita,Margita,Маргита
Markovac,Markovac,Марковац
Martinci,Martinci,Мартинци
Martonos,Martonoš,Мартонош
Mataruska Banja,Mataruška Banja,Матарушка Бања
Matejevac,Matejevac,Матејевац
Matesevo,Mateševo,Матешево
Medjurovo,Međurovo,Међурово
Melenci,Melenci,Меленци
Merdare,Merdare,Мердаре
Metohija,Metohija,Метохија
Mezgraja,Mezgraja,Мезграја
Mijalic,Mijalić,Мијалић
Mijatovo Kolo,Mijatovo Kolo,Мијатово Коло
Milatovac,Milatovac,Милатовац
Milavcici,Milavčići,Милавчићи
Milosevac,Miloševac,Милошевац
Milosevo,Miloševo,Милошево
Minicevo,Minićevo,Минићево
Mirusa,Miruša,Мируша
Misljenovac,Mišljenovac,Мишљеновац
Mladenovac,Mladenovac,Младеновац
Mladjevo,Mlađevo,Млађево
Mojkovac,Mojkovac,Мојковац
Mokranja,Mokranja,Мокрања
Mokrin,Mokrin,Мокрин
Momin Kamen,Momin Kamen,Момин Камен
Moraca,Morača,Морача
Morovic,Morović,Моровић
Mrsac,Mrsač,Мрсач
Mrzenica,Mrženica,Мрженица
Mustapic,Mustapić,Мустапић
Naumovicevo,Naumovićevo,Наумовићево
Negotin,Negotin,Неготин
Nenadovac,Nenadovac,Ненадовац
Neradovac,Neradovac,Нерадовац
Neresnica Stajalis.,Nerešnica Stajališ.,Нерешница Стајалиш
Neresnica Tovariste,Nerešnica Tovarište,Нерешница Товариште
Nikinci,Nikinci,Никинци
Nikolinci,Nikolinci,Николинци
Niksic,Nikšić,Никшић
Nis,Niš,Ниш
Nis Ranzirna,Niš Ranžirna,Ниш Ранжирна
Nisevac,Niševac,Нишевац
Niska Banja,Niška Banja,Нишка Бања
Nova Pazova,Nova Pazova,Нова Пазова
Novi Becej,Novi Bečej,Нови Бечеј
Novi Beograd,Novi Beograd,Нови Београд
Novi Sad,Novi Sad,Нови Сад
Novi Sivac,Novi Sivac,Нови Сивац
Novo Selo,Novo Selo,Ново Село
Novoselske Livade,Novoselske Livade,Новоселске Ливаде
Nozrina,Nozrina,Нозрина
Obilic,Obilić,Обилић
Oblutak,Oblutak,Облутак
Odzaci,Odžaci,Оџаци
Odzaci Kalvarija,Odžaci Kalvarija,Оџаци Калварија
Orlovat Stajaliste,Orlovat Stajalište,Орловат Стајалиште
Orom,Orom,Ором
Osipaonica,Osipaonica,Осипаоница
Osipaonica Stajali.,Osipaonica Stajali.,Осипаоница Стајали
Ostojicevo,Ostojićevo,Остојићево
Ostrog,Ostrog,Острог
Ostrovica,Ostrovica,Островица
Otanj,Otanj,Отањ
Ovca,Ovča,Овча
Ovcar Banja,Ovčar Banja,Овчар Бања
Padej,Padej,Падеј
Padez,Padez,Падез
Padinska Skela,Padinska Skela,Падинска Скела
Palanka,Palanka,Паланка
Palic,Palić,Палић
Palilula,Palilula,Палилула
Palilulska Rampa,Palilulska Rampa,Палилулска Рампа
Palojska Rosulja,Palojska Rosulja,Палојска Росуља
Pancevacki Most,Pančevački Most,Панчевачки Мост
Pancevo Gl.stanica,Pančevo Gl.stanica,Панчево Глстаница
Pancevo Streliste,Pančevo Strelište,Панчево Стрелиште
Pancevo Varos,Pančevo Varoš,Панчево Варош
Pancevo Vojlovica,Pančevo Vojlovica,Панчево Војловица
Pantelej,Pantelej,Пантелеј
Pantina,Pantina,Пантина
Paracin,Paraćin,Параћин
Parage,Parage,Параге
Pavlis,Pavliš,Павлиш
Pec,Peć,Пећ
Pecenjevce,Pečenjevce,Печењевце
Pelev Brijeg,Pelev Brijeg,Пелев Бријег
Pepeljevac,Pepeljevac,Пепељевац
Perlez,Perlez,Перлез
Petlovaca,Petlovača,Петловача
Petrovac-glozan,Petrovac-gložan,Петровацгложан
Petrovaradin,Petrovaradin,Петроварадин
Pinosava,Pinosava,Пиносава
Pirot,Pirot,Пирот
Piskanja,Piskanja,Пискања
Plandiste,Plandište,Пландиште
Platicevo,Platičevo,Платичево
Plemetina,Plemetina,Племетина
Plocnik,Pločnik,Плочник
Pocekovina,Počekovina,Почековина
Podgorica,Podgorica,Подгорица
Podina,Podina,Подина
Podlokanj,Podlokanj,Подлокањ
Podrinsko Novo Selo,Podrinsko Novo Selo,Подринско Ново Село
Podujevo,Podujevo,Подујево
Podunavci,Podunavci,Подунавци
Podvis,Podviš,Подвиш
Pogradje,Pograđe,Пограђе
Poljanica,Poljanica,Пољаница
Poljica,Poljica,Пољица
Polumir,Polumir,Полумир
Potkrs,Potkrš,Поткрш
Potporanj,Potporanj,Потпорањ
Pozarevac,Požarevac,Пожаревац
Pozega,Požega,Пожега
Prahovo,Prahovo,Прахово
Prahovo Pristaniste,Prahovo Pristanište,Прахово Пристаниште
Predejane,Predejane,Предејане
Presevo,Preševo,Прешево
Presevo Gr.,Preševo Gr.,Прешево Гр
Priboj,Priboj,Прибој
Priboj Leskovacki,Priboj Leskovački,Прибој Лесковачки
Priboj Vranjski,Priboj Vranjski,Прибој Врањски
Pribojska Banja,Pribojska Banja,Прибојска Бања
Pricelje,Pričelje,Причеље
Pridvorica,Pridvorica,Придворица
Prigrevica,Prigrevica,Пригревица
Prijepolje,Prijepolje,Пријепоље
Prijepolje Teretna,Prijepolje Teretna,Пријепоље Теретна
Prijevor,Prijevor,Пријевор
Priluzje,Prilužje,Прилужје
Pristina,Priština,Приштина
Prizren,Prizren,Призрен
Prnjavor Macvanski,Prnjavor Mačvanski,Прњавор Мачвански
Progorelica,Progorelica,Прогорелица
Prokuplje,Prokuplje,Прокупље
Prosek,Prosek,Просек
Pukovac,Pukovac,Пуковац
Pusto Polje,Pusto Polje,Пусто Поље
Putinci,Putinci,Путинци
Rabovce,Rabovce,Рабовце
Rabrovac,Rabrovac,Рабровац
Rabrovo-klenje,Rabrovo-klenje,Рабровоклење
Raca,Rača,Рача
Radalj,Radalj,Радаљ
Radinac,Radinac,Радинац
Radov Dol,Radov Dol,Радов Дол
Rajac,Rajac,Рајац
Rakovica,Rakovica,Раковица
Ralja,Ralja,Раља
Ralja Smederevska,Ralja Smederevska,Раља Смедеревска
Raska,Raška,Рашка
Rasna,Rasna,Расна
Ratare,Ratare,Ратаре
Ratina,Ratina,Ратина
Ratkovac,Ratkovac,Ратковац
Ratkovo,Ratkovo,Ратково
Ravna Rijeka,Ravna Rijeka,Равна Ријека
Razana,Razana,Разана
Recica,Rečica,Речица
Resava,Resava,Ресава
Resavica,Resavica,Ресавица
Resavsko Jasenovo,Resavsko Jasenovo,Ресавско Јасеново
Resnik,Resnik,Ресник
Resnik Kragujev.,Resnik Kragujev.,Ресник Крагујев
Rgoste,Rgošte,Ргоште
Rgotina,Rgotina,Рготина
Ribari,Ribari,Рибари
Ribnica Zlatiborska,Ribnica Zlatiborska,Рибница Златиборска
Rimski Sancevi,Rimski Sančevi,Римски Санчеви
Ripanj,Ripanj,Рипањ
Ripanj Kolonija,Ripanj Kolonija,Рипањ Колонија
Ripanj Tunel,Ripanj Tunel,Рипањ Тунел
Ristanovica Polje,Ristanovica Polje,Ристановица Поље
Ristovac,Ristovac,Ристовац
Rogljevo,Rogljevo,Рогљево
Rudare,Rudare,Рударе
Rudnica,Rudnica,Рудница
Rudnik Cirikovac,Rudnik Ćirikovac,Рудник Ћириковац
Ruma,Ruma,Рума
Rvati,Rvati,Рвати
Sabac,Šabac,Шабац
Sajinovac,Sajinovac,Сајиновац
Sajkas,Šajkaš,Шајкаш
Samaila,Samaila,Самаила
Samari,Samari,Самари
Samodreza,Samodreža,Самодрежа
Saraorci Stajaliste,Saraorci Stajalište,Сараорци Стајалиште
Sebes,Sebeš,Себеш
Sebesic,Sebešić,Себешић
Secanj,Sečanj,Сечањ
Sedlare,Sedlare,Седларе
Selacka Reka,Selačka Reka,Селачка Река
Selince,Selince,Селинце
Seliste,Selište,Селиште
Selo Grabovac,Selo Grabovac,Село Грабовац
Senta,Senta,Сента
Sevojno,Sevojno,Севојно
Sicevo,Sićevo,Сићево
Sid,Šid,Шид
Sid Granica,Šid Granica,Шид Граница
Sikirica-ratari,Sikirica-ratari,Сикирицаратари
Sinjac,Sinjac,Сињац
Sirakovo,Sirakovo,Сираково
Sirca,Sirča,Сирча
Sivac,Sivac,Сивац
Skenderovo,Skenderovo,Скендерово
Skobalj,Skobalj,Скобаљ
Slap,Slap,Слап
Slatina,Slatina,Слатина
Slijepac Most,Slijepac Most,Слијепац Мост
Slovac,Slovac,Словац
Smederevo,Smederevo,Смедерево
Sobajici,Šobajici,Шобајици
Socanica,Sočanica,Сочаница
Sokolovica,Sokolovica,Соколовица
Sombor,Sombor,Сомбор
Sonta,Sonta,Сонта
Sopot,Sopot,Сопот
Sopot Kosmajski,Sopot Kosmajski,Сопот Космајски
Sopot Pozarevacki,Sopot Požarevački,Сопот Пожаревачки
Spuz,Spuž,Спуж
Srbobran,Srbobran,Србобран
Sreckovac,Srećkovac,Срећковац
Sremska Mitrovica,Sremska Mitrovica,Сремска Митровица
Sremska Raca Nova,Sremska Rača Nova,Сремска Рача Нова
Sremski Karlovci,Sremski Karlovci,Сремски Карловци
Stagovo,Stagovo,Стагово
Stalac,Stalać,Сталаћ
Stanicenje,Staničenje,Станичење
Stapari,Stapari,Стапари
Stara Pazova,Stara Pazova,Стара Пазова
Stari Kacanik,Stari Kačanik,Стари Качаник
Stari Lec,Stari Lec,Стари Лец
Stari Popovac,Stari Popovac,Стари Поповац
Staro Selo,Staro Selo,Старо Село
Staro Trubarevo,Staro Trubarevo,Старо Трубарево
Stepanovicevo,Stepanovićevo,Степановићево
Stepojevac,Stepojevac,Степојевац
Stevanac,Stevanac,Стеванац
Stig,Stig,Стиг
Stitar,Štitar,Штитар
Stitaricka Rijeka,Štitarička Rijeka,Штитаричка Ријека
Stopanja,Stopanja,Стопања
Straza,Straža,Стража
Strilic,Štrilić,Штрилић
Strpci,Štrpci,Штрпци
Stubal,Stubal,Стубал
Stubica,Stubica,Стубица
Subotica,Subotica,Суботица
Subotica Granica,Subotica Granica,Суботица Граница
Subotica Javna Skl.,Subotica Javna Skl.,Суботица Јавна Скл
Subotica Predgrade,Subotica Predgrade,Суботица Предграде
Sukovo,Šukovo,Шуково
Sumanovica Bare,Šumanovica Bare,Шумановица Баре
Sumarice,Šumarice,Шумарице
Supovacki Most,Šupovacki Most,Шуповацки Мост
Susanj,Šusanj,Шусањ
Susica,Šušica,Шушица
Susulajka,Šušulajka,Шушулајка
Sutjeska,Sutjeska,Сутјеска
Sutomore,Sutomore,Сутоморе
Suva Morava,Suva Morava,Сува Морава
Suvi Do,Suvi Do,Суви До
Svetozar Miletic,Svetozar Miletić,Светозар Милетић
Svilajnac,Svilajnac,Свилајнац
Svinjare,Svinjare,Свињаре
Svrljig,Svrljig,Сврљиг
Svrljiski Miljkovac,Svrljiški Miljkovac,Сврљишки Миљковац
Tabakovac,Tabakovac,Табаковац
Tabakovacka Reka,Tabakovačka Reka,Табаковачка Река
Tamnic,Tamnić,Тамнић
Tavankut,Tavankut,Таванкут
Temerin,Temerin,Темерин
Tesica,Tešica,Тешица
Timok,Timok,Тимок
Titel,Titel,Тител
Tomasevac,Tomaševac,Томашевац
Tomica Brdo,Tomića Brdo,Томића Брдо
Tominac,Tominac,Томинац
Toplica Milan,Toplica Milan,Топлица Милан
Toplicka Mala Plana,Toplička Mala Plana,Топличка Мала Плана
Toplicki Badnjevac,Toplički Badnjevac,Топлички Бадњевац
Tosin Bunar,Tošin Bunar,Тошин Бунар
Trbusani,Trbušani,Трбушани
Trdevac,Trdevac,Трдевац
Trebaljevo,Trebaljevo,Требаљево
Trebjesica,Trebješica,Требјешица
Tripkova,Tripkova,Трипкова
Trnavac,Trnavac,Трнавац
Trnjaci,Trnjaci,Трњаци
Trnjani,Trnjani,Трњани
Trstenicki Odžaci,Trstenički Odžaci,Трстенички Оџаци
Trstenik,Trstenik,Трстеник
Trupale,Trupale,Трупале
Tubici,Tubići,Тубићи
Turija Kucevska,Turija Kučevska,Турија Кучевска
Uljma,Uljma,Уљма
Umcari,Umčari,Умчари
Urosevac,Uroševac,Урошевац
Usce,Ušće,Ушће
Uzdin,Uzdin,Уздин
Uzice,Užice,Ужице
Uzice Teretna,Užice Teretna,Ужице Теретна
Uzici,Uzići,Узићи
Valac,Valac,Валац
Valjevo,Valjevo,Ваљево
Valjevski Gradac,Valjevski Gradac,Ваљевски Градац
Valkanj,Valkanj,Валкањ
Vasiljevac,Vasiljevac,Васиљевац
Velika Greda,Velika Greda,Велика Греда
Velika Plana,Velika Plana,Велика Плана
Velika Zupa,Velika Župa,Велика Жупа
